name,email,phone,address
Ajingi Microfinance Bank Limited,,,Ajingi Town. Ajingi Local Govt Area Kano
Ajiya Microfinance Bank Limited,,,C/O Leadway Assurance Co.ltd N 28/29 Constitut Kaduna State
Ajose Microfinance Bank Limited,,,Ejinrin Road Ijebu South L.G.A Ogun State
Ajuta Microfinance Bank Limited,,,Market Square Loso Quarter. Ogbagi Akoko Ondo State
Akalabo Microfinance Bank Limited,,,Co-operative House Afor Market Square Anambra State
Akcofed Microfinance Bank Limited,,,Ikot Ekpene Ekim Itam Beside Water Board Itu AkwaIbom State
Akokwa Microfinance Bank Limited,,,Oris Akokwa Market Square Akokwa. Imo State
Akpo Microfinance Bank Limited,,,Akpo Juction Akpo Aguata L.G.A Anambra State
Aku-diewa Microfinance Bank Limited,,,Aku Igbo Etti Local Govt Area Akwa Ibom State
Akuchukwu Microfinance Bank Limited,,,Archbishop Patterson Complex. All Sint Cathedral Ozala Road Onitsha. Anambra State
Akwengwa Microfinance Bank Limited,,,10/0228 Idanuha Quarters. Okene-lokoja Road Oga.
Al.Hayat Microfinance Bank Limited,,,22 Ibadan Road Ijebu Ode Ogun State
Alache Microfinance Bank Limited,,,12. Bank Road Ogoja. Cross River State
Al-Barakah Microfinance Bank Limited,,,1. Thanni Olodo Street Jibowu Yaba. Lagos State
Al-Basu Microfinance Bank Limited,,,Albasu Local Govt Area. Kano
Alekun Microfinance Bank Limited,,,6. Oladipo Diya Road Odogbolu
Algreb Microfinance Bank Limited,,,Algreb MFB. 35 Iyorchia-Ayu Road. Wurukum. Makurdi Benue State
Aliero Microfinance Bank Limited,,,Attahuru Road Aliero L.G.A. Aliero. Kebbi State
Alkaleri Microfinance Bank Limited,,,C/O Alkalerie Road. Alkaleri L.G.A. Bauch State
All workers Microfinance Bank Limited,,,36. Mbari Road Ikenegbu Layout Owerri. Imo State
Aloave Microfinance Bank Limited,,,31. Mission Road Agenebode. Edo State
Alor Microfinance Bank Limited,,,Nkwor Alor Market Square. Idemili South L.G.A Anambra State
Alpha Kapital Microfinance Bank Limited,,,Plot 888. Joseph Gomwalk Street Suite 24 Shalom PLaza. Gudu. Abuja
Altitude Microfinance Bank Limited,,,Zone B. Block 14 Extention. ASPAMDA. Lagos State.
Alvana Microfinance Bank Limited,,,Alvan Ikoku College of Education Owerri. Imo State
Amaifeke Microfinance Bank Limited,,,95. Ihioma Road. Amaifeke Orlu
Amazu Microfinance Bank Limited,,,Km 10. Orlu Mgbidi Road. Amazu Ebenator.Orsu Imo State
Amba Microfinance Bank Limited,,,1. Makurdi Road. Lafia L.G.A Nassarawa State
Amegy Microfinance Bank Limited,,,1. Paul Odulaja Crescent Ifako Gbagada Lagos
AMJU Microfinance Bank Limited,,,1. Airport Road. Effurun. Warri. Delta State
AMML Microfinance Bank Limited,,,Plot 1963. Ladoke ASkintola Boulevard. Garki Model Market Abuja
Amove Microfinance Bank Limited,,,Community Bank Premises Oke-Aodu.
Amram Microfinance Bank Limited,,,No. 3. Nekede Road. Owerri
Amucha Microfinance Bank Limited,,,Bank House. Amucha. Via Orlu. Njaba
Amuro Microfinance Bank Limited,,,Ilorin Kabba-Road Post Office Close. Kogi State
Anchorage Microfinance Bank Limited,,,Highbury Plaza 104.Gado Nasco Road. Kubwa Abuja
Aniocha Microfinance Bank Limited,,,Umeadi House Ogbeofu. Iselle-Uku Aniocha North L.G.A Delta State
Annointed Microfinance Bank Limited,,,2. Efurrun Sapele Road. Effurun. Delta State
Anya Microfinance Bank LimitedAogo,,,Line C4/16 Relief Market Obodo-Okwu Road. Anambra State
Aogo Microfinance Bank Limited,,,Oba Adesanoye House. Ondo. Ondo State
Apa Microfinance Bank Limited,,,Makurdi Road. Adoka. Otukpo. Benue State
Apeks Microfinance Bank Limited,,,Ghalib Chamber. 2nd Floor. Ghalib 24 House. Abdulwahab Folawiyo Road. Ilorin Kwara State
Apex Trust Microfinance Bank Limited,,,FMBN.Building.1 Adekule Fojuyi Road. Dugbe Ibadan Oyo State
Apple Microfinance Bank Limited,,,26. Agbon Street Oru-Ijebu Ogun State
Aramoko Microfinance Bank Limited,,,Civic Center Aramoko. Ekiti STATE
Arochukwu Microfinance Bank Limited,,,Amaikpe Square. Afor Arochukwu Market Abi State
Arondizuogo Microfinance Bank Limited,,,Arodizuogu. Ideato North Local Govt Area. Imo State
Asha Microfinance Bank Limited,,,11. Boyade Oluwole Street Off Awolowo Way. Ikeja. Lagos State
Aspire Microfinance Bank Limited,,,No. 254. Umusadegi Road. Kwale. Delta State
Asset Matrix Microfinance Bank Limited,,,68. Herbert Macauley Way. Ebute-Metta. Lagos
Assets Microfinance Bank Limited,,,4. Apata Street. Somolu. Lagos State
Astra Microfinance Bank Limited,,,Ogunmakin Market. Ogunmakin. Obafemi Owode L.G.A Ogun State
Atlas Microfinance Bank Limited,,,Plot 1077. Cadastral Zone B02. Old Federal Secetariat Road By Area 3 Junction Durumi Abuja
Auchi Microfinance Bank Limited,,,40. Otaru Road. Auchi. Edo State
Augie Microfinance Bank Limited,,,Augie Town L.G.A Kebbi State
Avuengbe Microfinance Bank Limited,,,No. 2 Jattu Road. Auchi. Edo State
Avvi Microfinance Bank Limited,,,No.12. Roger Road. P.O.BOX 303. Wukari Taraba State.
Awe Microfinance Bank Limited,,,REV. DAVID AIBINU OLAOPA VILLA AWE-IWO ROAD. P.O. BOX 91 AWE OYO STATE
Awesome Microfinance Bank Limited,,,"Deo Plaza, Opposite Gwagwalada Ultra-Modern Market, Kutunku, Gwagwalada, Abuja, FCT"
Awgbu Microfinance Bank Limited,,,Eke Awgbu Market Square Awgbu
Awka Microfinance Bank Limited,,,176A Nnamdi Azikiwe Avenue Awka Anambra State
Awka-Etiti Microfinance Bank Limited,,,KM 1-3 Nnobi Awka Etiti Road Idemili LGA Anambra
Awkuzu Microfinance Bank Limited,,,P.M.B. 2 Awkuzu Oyi LGA Anambra State
Ayete Microfinance Bank Limited,,,C/O AYETE POSTAL AGENCY AYETE IBARAPA NORTH L.G.A. OYO STATE
Azabe Zinariya Microfinance Bank Limited,,,Phase 2 Ultra-Modern Market Western Resevoir Road Ilorin Kwara State
AZSA Microfinance Bank Limited,,,OSOLO WAY ASWANI ISOLO LAGOS NIGERIA (ISOLO LOCAL COUNCIL DEVELOPMENT PREMISES)
B.C. KASH Microfinance Bank Limited,,,No. 119 Ikorodu Road Onipanu Lagos
Babba Microfinance Bank Limited,,,126 Ahmadu Bello Way Agaie Agaie Local Government Area Niger State
Babcock Microfinance Bank Limited,,,Babcock University Babcock University Road Ilishan-Remo Ogun State
Babura Microfinance Bank Limited,,,Local Govt. Sec. (Opp. District Head&#8217;s Palace) Babura Jigawa State.
Bagwai Microfinance Bank Limited,,,Bagwai local Government Area Kano State.
Baines Credit Microfinance Bank Limited,,,22 Norman Williams Street South West Ikoyi Lagos Nigeria
Bakassi Microfinance Bank Limited,,,199 Ndidem Iso Road Opposite Parliamentary Village Cross Rivers State
Balera Microfinance Bank Limited,,,No. 2 Kafanchan Road Lere L.G.A Kaduna State.
Balogun Fulani Microfinance Bank Limited,,,9 Balogun Fulani Road Ilorin Kwara State.
Balogun Gambari Microfinance Bank Limited,,,Ojagboro Ilorin Kwara State.
Bam Microfinance Bank Limited,,,Suite D77/67 Efab Mall Ahmadu Bello Way Area 11 Garki Abuja FCT.
Bama Microfinance Bank Limited,,,Bama Main Market Barma L.G.A Borno State.
Bancorp Microfinance Bank Limited,,,Idemili House (BBA) Int&#8217;l Trade Fair Complex Badagry Expressway Lagos
Banex Microfinance Bank Limited,,,Suite C 1 & 2 Banex Plaza Vina Wuse II Abuja
Bank78 Microfinance Bank Limited,business@bank78.com,08059763867,"Ground Floor, Mulliner Towers, 39 Alfred Rewane Road, Ikoyi, Lagos, 0805 976 3867, business@bank78.com"
Bankeasy Microfinance Bank Limited,,,"Suite C 1 & 3 Palace Way , Iba Ifelalodun LGA Osun State"
Barnawa Microfinance Bank Limited,,,Plot 3 Mozambique Road BamawaShopping Complex Kaduna South L.G.A Kaduna State.
Batagarawa Microfinance Bank Limited,,,No. 2 Batagarawa Town Bataragawa L.G.A Katsina State
Baobab Microfinance Bank,,,17 Mogadishu Layout Leventis Roundabout PMB 2471 Kaduna
Baure Microfinance Bank Limited,,,NO. 21 BAURE TOWN BAURE L.G.A. KATSINA STATE
Bawyi Microfinance Bank Limited,,,5 Kuta Road Opp. Gwada Community Health Centre Shiroro L.G.A Niger State.
Bayajidda Microfinance Bank Limited,,,Along Daura-Kongolam Road Daura Katsina State
Bayero University Microfinance Bank Limited,,,Bayero University Kano Kano State
Bayetin MFB Microfinance Bank Limited,,,Grico Rice Mills Building No. 1 Suleja-Minna Road Bida Niger State.
Bebeji Microfinance Bank Limited,,,Bebeji Local Government Area Bebeji Kano State
Bejin-Doko Microfinance Bank Limited,,,Lavun L.G.A Bida Niger State
Benue Microfinance Bank Limited,,,Block 9A Owner Occupier Estate Senator George Akume Road Makurdi Benue State
Berachah Microfinance Bank Limited,,,5A Adekunle Banjo Street Ketu Lagos State.
Best Star Microfinance Bank Limited,,,Irefin Road junction Itu-Taba Oje Ibadan
Bestway Microfinance Bank Limited,,,Civic Centre Complex Adazi -Enu Anambra State.
Bethel Microfinance Bank Limited,,,43B Kenyatta Street Enugu Enugu State
Bethesda Microfinance Bank Limited,,,Maanah Plaza 1st Floor 19 Araromi Street Off Berkley Street Lagos Island
Better-Life Microfinance Bank Limited,,,No. 6 New Bridge Road Wurukum District Makurdi Benue
BFL Microfinance Bank Limited,,,Hall 1 Abuja Shopping Mall Wuse Zone 3 Abuja.
Bibajinre Microfinance Bank Limited,,,Bida-Abuja Road Badeggi Kacha Local Govt Niger State
Bichi Microfinance Bank Limited,,,No. 1 Bichi Main Street Bichi Town Bichi LGA Kano State
Bigthana Microfinance Bank Limited,,,No. 6 Ali Akilu Road Kaduna State
Billionaire Blue Bricks Microfinance Bank Limited,,,Aperin House Block 1 Plot 27 Budo Layout Ajiwe Lekki Epe Express way Ajah Lekki Lagos
BishopGate Microfinance Bank Limited,,,39 Agege Motor Road Moshalashi Mushin Lagos State.
Biyama Microfinance Bank Limited,,,50 Mubi Road Hong L.G.A Adamawa State.
Biztrust Microfinance Bank LImited,,,107B Allen Avenue Ikeja.
Bloom Microfinance Limited,,,Â 108Lagos Road Ikorodu Lagos
Blucon Microfinance Bank LImited,,,Ahmadu Bello Way Opposite Kwara Hotel Ilorin Kwara State
Blue Intercontinental Microfinance Bank Limited,,,Herbert Macaulay Way Ebutte Metta Lagos
Opay Microfinance Bank Limited,,,
BLUEWHALES Microfinance Bank Limited,,,TAEN Building Opposite Former NITEL Office Yakubu Gowon Way Jos Plateau
Bmazazhin Microfinance Bank Limited,,,IBB Road Gawu Babangida Niger state
BOCTRUST Microfinance Bank Limited,,,No 32 Lawson Street Off Moloney Street Lagos Island Lagos
BOI Microfinance Bank Limited,,,23 Marina Lagos
Boig Microfinance Bank Limited,,,33 Idumagbo Avenue Lagos Island Lagos State
Boji Boji Microfinance Bank Limited,,,Old Abraka Road Agbor Delta State.
Bokkos Microfinance Bank Limited,,,Bokkos Microfinance House Barkin Ladi Road Bokkos Local Govt Area Plateau State
Boluwaduro Microfinance Bank Limited,,,Isale Odofin Quarters Otan Ayegbaju
Bompai Microfinance Bank Limited,,,Ahmadu Bello Way Bompai Kano State
Bonded Microfinance Bank Limited,,,246 ITIRE ROAD PAKO BUS/STOP LAWANSON LAGOS.
Bonghe Microfinance Bank Limited,,,90 AHMADU BELLO WAY NUMAN ADAMAWA STATE
Borgu Microfinance Bank Limited,,,Plot 191 Ibrahim Taiwo Road New Bussa Niger State.
Borno Renaissance Microfinance Bank Limited,,,1 SHEHU SANDA KYARI ROAD OFF SHEHU LAMINU WAY BY GIWA BARRACKS JUNCTION MAIDUGURI
Boromu Microfinance Bank Limited,,,Ijoun Market Square Ijoun Town Yewa North Local Govt Area. Ogun State
Borstal Microfinance Bank Limited,,,Prisons Training Complex Independence Way Kaduns Kaduna State
Bosak Microfinance Bank Limited,,,Plot 8 Cocoa Industries Road Ogba Ikeja
Boost Microfinance Bank Limited,,,"108, Lagos Road, Ikorodu, Lagos State. 234-8033728807"
Bowen Microfinance Bank Limited,,,Baptist Academy Compound Obanikoro Ikorodu Road Lagos State
Bowman Microfinance Bank Limited,,,1 Bode Onifade Street Ewu-TuntunOshodi-Isolo L.G.A Lagos State
Brass Microfinance Bank Limited,,,Zungeru Road Bida Niger State
Bridgeway Microfinance Bank Limited,,,49a Lafiaji Way Dolphin Estate Ikoyi Lagos
Brightway Microfinance Bank Limited,,,17 New Market Road Baboko Ilorin Kwara State
Briyth-Covenant Microfinance Bank Limited,,,Plot 19 Water Corporation Road Off Ligali AyorindeVictoria Island Lagos State.
Broadview Microfinance Bank Limited,,,52 Odunlami Street Lagos Island
Brooks Microfinance Bank Limited,,,81 Nwaniba Street Uyo Akwa Ibom State
Bubayero Microfinance Bank Limited,,,DUKKU ROAD GOMBE TOWN GOMBE STATE
Bundi Microfinance Bank Limited,,,157 Cameroun Road Aba Abia State
Bungudu Microfinance Bank Limited,,,Ahmadu Bello Way Bungudu Zamfara State
Bunkasa Microfinance Bank Limited,,,7 Jos Road Jere Kagarko L.G.A Kaduna State
Bunkure Microfinance Bank Limited,,,No. 5 Bunkure Town Kano State
Bunza Microfinance Bank Limited,,,Bunza Town Bunza Local Government Area Kebbi
Business Support Microfinance Bank Limited,,,PLOT 92 OBAFEMI AWOLOWO WAY SUITE B2/B3 JABI PLAZA OPPOSITE ZENITH BANK JABI ABUJA
Busu Microfinance Bank Limited,,,Busu Via Doko Lavun L.G.A Niger State.
CAFON Microfinance Bank Limited,,,Garki Police Barracks Garki 11 FCT Abuja
Calabar Microfinance Bank Limited,,,72 Egerton Street Calabar Cross River State.
Capstone Microfinance Bank Limited,,,187 Igbosere Road Lagos
Carbon Microfinance Bank Limited,,,642c Adeyemo Alakija Victoria Island Lagos State
Cardinal Rock Microfinance Bank Limited,,,83 Iju Road Ifako Ijaiye Lagos State
Caretaker Microfinance Bank Limited,,,ADEBOWALE&#8217;S HOUSE CARETAKER OGBOMOSHO OYO STATE
Cash Cow Microfinance Bank Limited,,,186A Igbosere Road lagos Island
Cashrite Microfinance Bank RC:1376932,info@cashritemfb.com,09022566528; 08065331751,"28 Ndiya street,Uyo, Akwa Ibom 09022566528, 08065331751 info@cashritemfb.com"
Castle Microfinance Bank Limited,,,159 NnewiOzubulu Road Ozubulu Anambra State
Catland Microfinance Bank Limited,,,14 Oke-Owode Street Ilese-Ijebu Ogun State.
Cedar Microfinance Bank Limited,,,114 Itire Road Surulere Lagos
CEMCS Microfinance Bank Limited,,,No. 6 Udeco Medical Road Off Chevron Drive Lagos State
Challenge Microfinance Bank Limited,,,28 AHMADU BELLO WAY JOS PLEATEAU STATE
Chanelle Microfinance Bank Limited,,,78 Nnamdi Azikiwe Street Lagos Island
Chase Microfinance Bank Limited,,,Suite 46 Dolphin Plaza Dlphin Plaza Dolphin Estate Osborne Road Ikoyi Lagos State
Chelsea Microfinance Bank Limited,,,Plot 22 Umuohomi Quarters Onicha-Ugbo Aniocha North L.G.A Delta State
Cherish Microfinance Bank Limited,,,Batsari Local Government Area Katsina State
Chibueze Microfinance Bank Limited,,,CKC 82 Ehi/Asa Road Aba Abia State.
Chidera Microfinance Bank Limited,,,1/15 Chime Avenue New Haven Enugu Enugu State
Chigbe-Yaji Microfinance Bank Limited,,,Zungeru Road Lemu Bako L.G.A Niger State
Chikum Microfinance Bank Limited,,,Catholic Archdiocese of Owerri Villa Assumpta Owerri Imo State.
Chimham Microfinance Bank Limited,,,KY GUEST HOUSE PLOT NO 23 ROAD M SABON GARI KEFFI ROAD JABA L.G
Chrisore Microfinance Bank Limited,,,60 Fajuyi Road Ile-Ife Osun State.
Chronicles Microfinance Bank Limited,,,GOSPEL CITY ASESE KLM 40 LAGOS-IBADAN EXPRESS WAY
Chukwunenye Microfinance Bank Limited,,,Catholic Cathedral Premises Nnobi Road Nnewi Anambra State.
CIT Microfinance Bank Limited,,,22 Berkely Street Off King George V Road Onikan Lagos
Citadel Microfinance Bank Limited,,,1 Abbi Avenue Badagry Expressway Orile-Iganmu Lagos
Citizen Trust Microfinance Bank Limited,,,No 52 Olofa Way Beside GTBank Plc Offa Kwara State
Civic Microfinance Bank Limited,,,Araromi Market Agodi Gate Ibadan Oyo State
Coalcamp Microfinance Bank Limited,,,29 Taylor Avenue CoalCamp Enugu Enugu State
Coastline Microfinance Bank Limited,,,1 Ekpen Road Okere Warri Delta State
Coconut Avenue Microfinance Bank Limited,,,3 Tex Olawale Crescent Coconut Bus Stop Apapa Lagos
COE Minna Microfinance Bank Limited,,,2 Paiko Road Niger State College of Education Minna Niger State
Commonwealth Microfinance Bank Limited,,,No 8B Kagoro Road Kafanchan Kaduna State.
Complete Trust Microfinance Bank Limited,,,5/7 Dobblin Avenue Alaba International Market Ojo Alaba Lagos State
Confidence Microfinance Bank Limited,,,156 Ibrahim Taiwo Road Ilorin Kwara State.
Confluence Microfinance Bank Limited,,,5 Ibrahim Taiwo Road Lokoja Kogi State
Conpro Microfinance Bank Limited,,,Blk 116-123 Ikota Shopping Complex Victoria Garden City Lekki Lagos
Consistent Trust (Ijesa Isu Confidence) Microfinance Bank Limited,,,77 Bank Road Ijesa-Isu Ekiti Ekiti State.
Consumer Microfinance Bank Limited,,,PLOT 2087 Herbert Macaulay Zone 5 Wuse FCT Abuja
Coral Microfinance Bank Limited,,,82 Isheri Road Before Grammar School Bus Stop Omole Phase 1 Ojodu-Berger Lagos State
Corestep Microfinance Bank Limited,,,22/24 Ago Palace Way Okota Lagos State
Cosmopolitan Microfinance Bank Ltd,,,Charis Plaza 141 Olu Obasanjo Road Port Harcourt Rivers State
Covenant Microfinance Bank Limited,,,Km 10 Idiroko Road Canaan Land Ota Ogun State
Cowries Microfinance Bank Limited,,,House 6 Second Avenue Festac Town Lagos State
Credit Express Microfinance Bank Limited,,,27 Kakawa Street Lagos Island.
Credit Plus Microfinance Bank Limited,,,176 Herbert Macaulay Way Adekunle Yaba Lagos State
Creditlink Microfinance Bank Limited,,,40 Ladoke Akintola Boulevard Garki Abuja.
Creekline Microfinance Bank Limited,,,5 Swam Road GRA Warri Delta State
Crest Microfinance Bank Limited,,,43 Obafemi Awolowo Way Opposite National Building Oke-Bola Ibadan Oyo State
Crossover Microfinance Bank Limited,,,63b Raymond Njoku Street South-West Ikoyi Lagos State.
Crowned Eagle Microfinance Bank Limited,,,132 Isawo Road Owutu Ikorodu Lagos State
CRUTECH Microfinance Bank Limited,,,Cross River University of Technology Calabar Cross Rivers State
Crystabel Microfinance Bank Limited,,,No. 186 Mbiama/Yenogoa Road Yenogoa Bayelsa State.
Crystal Edge Microfinance Bank Limited,,,Plot 12 Commercial Layout Opposite University of Abuja Gwagalada FCT Abuja
CSD Microfinance Bank Limited,,,2 Okim Osabor Street Ikom Cross River State
CUB Microfinance Bank Limited,,,Co-operative House Okpanam Road Asaba Delta
Custodian Microfinance Bank Limited,,,Plot 1 Road 2 Owode Housing Estate Apata Abeokuta Road Ibadan Oyo State
Dadinkowa Microfinance Bank Limited,,,FED. MORTGAGE BANK BUILDING SECRETARIAT JUNCTION JOS PLATEAU STATE
Dal Microfinance Bank Limited,,,Off Nasidi Supermarket Opp. Dala Orthopedic Hospital Kano State
Dambatta-Makoda Microfinance Bank Limited,,,7 Kano Road Kofar Yamma Dambatta Kano State
Dankingari Microfinance Bank Limited,,,Dakingari LGA Kebbi State
Darazo Microfinance Bank Limited,,,Market Square Darazo Bauchi State
Davodani Microfinance Bank Limited,,,Jolaade House28 Ogudu Road Ojota Lagos Lagos
Dawakin Kudu Microfinance Bank Ltd,,,Dawakin Kudu Town Dawakin LGA Kano State
Dawakin Tofa Microfinance Bank Limited,,,Dawakin Tofa Town Dawakin Tofa Local Government Area Kano State
Daylight Microfinance Bank Limited,,,NO. 23A ADEYEMI LAWSON STREET IKOYI FALOMO LAGOS STATE
Decency Microfinance Bank Limited,,,Afor Ibeji Market Square Old Umuahia Abia State.
DEC-Enugu Microfinance Bank Limited,,,3-5 Dec Avenue Independent Layout Enugu Enugu State
Desmonarchy Microfinance Bank Limited,,,633 Lagos Abeokuta Expressway Abule Taylor Bus Stop Abule Egba Lagos
Destiny Microfinance Bank Limited,,,No 1 Old Aji Road Agrute Igbo-Eze North L.G.A Enugu State.
Digitvant Microfinance Bank Limited,contact@digitant.com,07070107347,"9 Folwewo Street, off Allen Avenue, Ikeja, Lagos. contact@digitant.com 07070107347"
Diobu Microfinance Bank Limited,,,15B Bishop Barahart Street Port-Harcourt Rivers State.
Doguwa Microfinance Bank Limited,,,Doguwa Town Doguwa Local Government Kano State.
Dolphin Microfinance Bank Limited,,,72 Enerhen Udu Clan Warri Delta State
Dominion Microfinance Bank Limited,,,EKE IHEMBOSI EKWUSIGO LGA ANAMBRA STATE
Dorben Microfinance Bank Limited,,,Bwari-Garam Road P.M.B 590 Garki Bwari Area Council Abuja FCT
Dot Microfinance Bank Limited,,,Â Mjs House Opposite Polaris Bank366 Murtala Mohammed Way Yaba Lagos
Dutse Microfinance Bank Limited,,,Main Street Central Market Dutse Jigawa State.
Duxbank Microfinance Bank Limited,info@duxbankmfb.ng,09133333720,"792B Adetokunbo Ademola Crescent, Wuse II, Abuja 09133333720 info@duxbankmfb.ng"
Eagle Flight Microfinance Bank Limited,,,129 Ajamimogha Road Warri Delta State
Eagle Microfinance Bank Limited,,,1 New Layout P.O.Box 75 Bokkos L.G.A Plateau State
Earnwell Microfinance Bank Limited,,,No 12 IBB Way Jobo Plaza Lokoja Kogi State.
East-Gate Microfinance Bank Limited,,,135 Aba-Owerri Road Aba Abia State
Eastman Microfinance Bank Limited,,,1 Temple Avenue G.R.A Enugu Enugu State.
Easy Access Microfinance Bank Limited,,,NO. 29 EKWULOBIA ROAD UMUNZE ORUMBA SOUTH L.G.A ANAMBRA STATE
e-Barcs Microfinance Bank Limited,,,36 Okotie Eboh Street Utako District Abuja
Ebedi Microfinance Bank Limited,,,Adabo Market Opposite Aseyin Palace Iseyin Oyo State..
Ebonyi State University Microfinance Bank Limited,,,CAS Ebonyi State UNiversity Abakaliki Ebonyi State
Ebu Microfinance Bank Limited,,,Ekeohoa/Illah Road Oshimili North L.G.A Delta State.
Echo Microfinance Bank Limited,,,57/59 Isawo Road Owutu Ikorodu Lagos
Edo Microfinance Bank Limited,,,248 Ugbowo-Lagos Road Benin City Edo State
Eduek Microfinance Bank Limited,,,Winmos House 202 Abak Road Uyo Akwa Ibom State
Edumana Microfinance Bank Limited,,,ETSU YAHAYA ABUBAKAR ULTRA-MODERN MOTOR PARKESSO BIDDA NIGER STATE
Egbe Microfinance Bank Limited,,,Federal Road Kabba-Kd Ilorin-Kabba Road P.M.B 1002 Egbe Kogi State
Egbemoha Microfinance Bank Limited,,,Omoku Road Mmehu Egbema OhajiI/Egbema L.G.A Imo State
Egwafin Microfinance Bank Limited,,,No 3 Salihu Road Suleja Niger
Ehor Microfinance Bank Limited,,,7 Royal Street P.O.Box Ehor Uhunmwode L.G.A Edo State.
Ejiamatu Microfinance Bank Limited,,,Oye Market Square Ojoto Bye-Pass Ojoto Idemili South L.G.A Anambra State
Ekimogun Microfinance Bank Limited,,,2 Ifore Street Ondo Ondo State
Ekondo Microfinance Bank Limited,,,No 44 Murtala Mohammed Road Calabar Cross River State.
EK-Reliable (Ikole Ekiti) Microfinance Bank Limited,,,Oba Adeleye Road Ikole Ekiti Ekiti State.
Ekuombe Microfinance Bank Limited,,,No 2 Community Bank Road Ilaro-Yewa South L.G.A Ogun State.
Ekwulobia Microfinance Bank Limited,,,No 1 Mission Road Ekwulobia Aguata L.G.A Anambra State
Elim Microfinance Bank Limited,,,394 Muritala Mohammed Way Yaba Lagos
Ellington Microfinance Bank Limited,,,"Suit 3F2, Threshood Business Suite, Olusegun Obasanjo Way,Wuye Abuja"
Elo-Emede Microfinance Bank Limited,,,Uruowho Street Adaza Quarters Opp. Holy Trinity Anglican Church Emede Isoko South L.G.A Delta State
EMAAR Microfinance Bank Limited,,,"220 Opposite BUK old site, Kofar Kabura,Gwale, Kano State"
Emerald Microfinance Bank LImited,,,6 AJUWON ROAD AKUTE B/STOP AKUTE IFO LGA OGUN STATE
Empire Trust Microfinance Bank Limited,,,No 14 Ogunlowo Street Off Awolowo Way Ikeja
